ID	Title	Type de document	Dernière modification	Cote	Datum	Auteur	Destinataire	Résumé
2813		Brief	2022-10-25 14:03:57	C06/S43/207-208	1817-07-15	Salm, Constance de	Prous, Henry	Zusendung von Zeitungen und einem Manuskript (Bitte um Rückgabe des SRD). Entschuldigung des P. für eine Absage. Melancholische Stimmung des P. und der CdS. Solche Diskussionen wie mit P. fehlen in diesem Land. Missverstandene Interpretation einer Aussage Renards.
2814		Brief	2022-10-27 10:14:55	C06/S43/209	1817-07-19	Salm, Constance de	Prous, Henry	Traurigkeit des P. und der CdS. Gesundheitszustand der Mme Kopp und diesbezügliche Ratschläge. Korrespondenz Voltaires als angebrachte Lektüre auf dem Land.
2815		Brief	2022-10-19 09:00:30	C06/S43/241	1817-09-03	Salm, Constance de	Prous, Henry	Hoffnung, dass Prous sie bald mit Frau Kopp besuchen wird.
2816		Brief	2022-10-26 12:12:49	C06/S43/329	1818-01-02	Salm, Constance de	Prous, Henry	Brief beginnt mit Versen (Neujahrswünsche). Zusendung von Lebkuchen („pain d’épice“). Bibliothek des Prous. Besuche, Wohlbefinden. Presseberichte über Frankreich und Gedanken über dessen vergangene Größe in Europa. Einladung für den 6. Januar zum traditionellen Königskuchen [„tirer les rois“ = galette]. Postskriptum wurde von Minette geschrieben: Missverständnis der CdS über den letzten Brief des Prous. Prous habe ein „weißes Herz“.
2817		Brief	2022-10-25 14:05:09	C06/S43/344-345	1818-02-11	Salm, Constance de	Prous, Henry	Dank für Briefe des P. Gesundheitszustand der CdS. Der Geist leidet unter einem geschwächten Körper. Eine Louise Prous‘ Zukunft betreffende Angelegenheit. Ärger über Zollausgaben. Besuch des Hompesch und des Bonnheim. Einladung des P. Auf dem Land muss man sich ab und zu zu solchen Dingen überwinden. Empfang eines Briefs des M. Marron mit Liedern, die CdS eine Freude machen sollen. Sorge der CdS, dass die Briefe an der Grenze geöffnet werden. Spätere Fußnote der CdS: Besetzung Frankreichs durch die Alliierten bis zum Aachener Kongress. Strenge Briefkontrolle der Polizei an der Grenze.
2818		Brief	2022-10-26 07:05:44	C06/S43/347-348	1818-03-09	Salm, Constance de	Prous, Henry	Lied über die ersten Maiglöckchen. Freude der CdS über Maiglöckchen des P. Verständnis der CdS für Zurückweisung eines Kölners durch Louise und deren Wunsch, sich zu amüsieren. Nächstenliebe der CdS, da Ostern herannaht. Dadurch kann sie bei Männern und Frauen in Dyck Dummheiten zulassen. Die Tochter der CdS soll Prous selbst antworten. SRD wartet auf ein Märchen des P. CdS wird es nur lesen, wenn SRD es ihr vorliest, da sie laut dem Code civil ihrem Mann unterworfen ist. Ausbleibende Reaktion des P., dass Bernadotte nun König ist. P. ist durch den Krieg abgehärtet und reagiert nur auf Schreckensnachrichten. Familiäre Neuigkeiten.
2819		Brief	2022-10-19 09:00:30	CdS/02_2/175	1818-08-03	Salm, Constance de	Prous, Henry	Louise und ihre Mutter werden gegen Mittag abgeholt. Einladung an Prous. Bevorstehender Besuch des Hompesch. Grüße an Ritz.
2820		Brief	2022-10-26 07:01:57	C06/S43/397	1818-09-20	Salm, Constance de	Prous, Henry	Entschluss der CdS, ihre Tochter zu begleiten. Gesundheitszustand der CdS. Möglichkeit, dass der Kongress ohne CdS eröffnet wird. L.B. Francq geht es schlecht. Baldige Wiederkehr der CdS. Lachen über eine unklare Anekdote oder einen Scherz des P. und diesbezüglicher Kommentar.
2821		Brief	2022-10-25 14:01:45	C06/S43/548	1819-00-00	Salm, Constance de	Prous, Henry	Nachfrage, ob P. morgen kommt. Anwesenheit des Gärtners Blaikie: interessanter Gesprächspartner. Natürliche Schönheit seiner in Dyck angelegten Gärten: Die Perfektion soll nur im Vergleich mit anderen Orten sichtbar werden. Unruhen in Frankreich durch Ansammlung Liberaler bei den Tuilerien, ein Todesfall. Beginn einer Revolution durch solche Gefechte. Unruhe durch Durchsetzung des 1. Artikels des „Loi d'élection“ und Sieg der Ultras. Gesunder Menschenverstand gebietet aufzuhören. Vorliebe Blaikies für politische Diskussionen.
2822		Brief	2022-10-26 07:51:14	C06/S43/452-454	1819-08-30	Salm, Constance de	Prous, Henry	Schlechter Gesundheitszustand und Sommerhitze als Grund für längeres Schweigen. Freude über Wohlergehen des P. in seinem neuen Wohnort. Eine Zeichnung der neuen Heimat des P. hat in Dyck die Runde gemacht. Positive Aufnahme. Kritik des SRD. Wichtigkeit einer angenehmen Gesellschaft und nicht ausreichende Beschäftigung mit sich selbst. Freude, dass P. über CdS und ihre Werke mit einem nicht genannten General gesprochen hat. Zusendung eines weiteren Exemplars ihrer „Poésies”. Zusammentreffen von Mme Kopp und Schlegel und dessen Erwähnung der CdS. CdS ist unklar, um welchen Schlegelbruder es sich handelt. Angenehmes Zusammentreffen der Bonner Professoren laut Mme Kopp. Absicht der CdS, in ihrem Schloss in Alfter die gute Bonner Gesellschaft zu versammeln. Anteilnahme der CdS am Leben des P. in Chokier. Hoffnung auf einen Besuch des P. Eventuell kompromittierende, sehr häufige Besuche eines Neffen in Liedberg. Angenehmer Besuch des 'Prince Guillaume', der sich in dem Album der CdS verewigt hat, und weiteres Zusammentreffen mit SRD. Nachfrage der CdS zu einem Lied des P. Verse der CdS über ihre Uhr. Eventueller Besuch in Chokier. Anstehende Geburtstagsfeier des SRD.
